Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернет,Контактный телефон,Адрес,Долгота,Широта
Выставочный Зал Новый Манеж,Выставочные центры,None,12.00-21.00,12.00-21.00,12.00-21.00,12.00-21.00,12.00-21.00,12.00-21.00,http://moscowmanege.ru/ru/o-ploshhadke-novyj-manezh/,8 (495) 645-92-77,Георгиевский пер. д 3 стр.3,55.7593972,37.6155361
Выставочный зал федеральных архивов,Выставочные центры,None,None,12.00-18.00,12.00-18.00,12.00-18.00,12.00-18.00,12.00-18.00,http://www.statearchive.ru/,8 (495) 580-88-25+++ 8 (499) 245-19-25,Большая Пироговская ул.+++ д. 17,55.7321611,37.5733806
Выставочный центр СК Олимпийский,Выставочные центры,None,None,None,None,None,None,None,None,None,Олимпийский проспект+++ 16,55.7837917,37.6254694
"Галерея ""Здесь на Таганке""",Выставочные центры,None,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,http://vzmoscow.ru/,8 (495) 678-55-78,Таганская ул.+++ д.31/22,55.7406889,37.6705
"Галерея ""Ковчег""",Выставочные центры,None,None,15.00-19.00,15.00-19.00,15.00-19.00,12.00-18.00,12.00-18.00,http://www.kovcheg-art.ru,8 (925) 710-05-93,Трубниковский пер.+++ 22+++ стр. 2,55.754125,37.5873611
"Галерея ""Место на Тимирязевской""",Выставочные центры,None,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,http://www.kovcheg-art.ru/,8 (499) 977-00-44,Немчинова ул.+++ д.12,55.8232972,37.5657111
"Галерея ""На Каширке""",Выставочные центры,None,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,http://nakashirke.narod.ru/,8 (499) 612-11-61,ул.Ак.Миллионщикова+++ д.35+++ корп.5,55.6613917,37.6468861
Галерея Art People,Выставочные центры,None,13.00-20.00,13.00-20.00,13.00-20.00,13.00-20.00,13.00-20.00,13.00-20.00,www.artpeoplegaleri.ru,8 (495) 951-70-75+++ 8 (916) 603-06-32,Космодамианская наб.+++ 40/42,55.7374889,37.6442083
Галерея Expo-88,Выставочные центры,None,14.00-19.00,14.00-19.00,14.00-19.00,14.00-19.00,13.00-18.00,None,http://www.expo-88.ru/,8 (495) 625-72-42+++ 8 (967) 075-77-08,Забелина ул.+++ д. 1/9,55.7546639,37.6376944
Галерея XXI века,Выставочные центры,None,12.00-20.00,12.00-20.00,12.00-20.00,12.00-20.00,12.00-18.00,12.00-18.00,http://vzmoscow.ru/,8 (499) 445-16-50,Кременчугская ул.+++ д.22,55.7179083,37.4613417
Галерея Александра Шилова,Выставочные центры,None,11.00-19.00,11.00-19.00,11.00-21.00,11.00-19.00,11.00-19.00,11.00-19.00,http://www.amshilov.ru/,8 (495) 697-54-00+++ 8 (495) 697-42-08+++ 8 (495) 697-73-10,Знаменка ул.+++ д. 5,55.7492,37.6078861
Галерея Беляево,Выставочные центры,None,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,http://www.gallery-belyaevo.ru/,8 (495) 335-83-22+++ 8 (499) 793-41-21,Профсоюзная ул.+++ д. 100,55.6447639,37.5259611
