Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернете,Контактный Телефон,Адрес,Долгота,Широта,Круглосуточно
Часовня-храм Всех Святых в Земле Санкт-петербургской Просиявших,Религиозные объекты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, ул. Бурцева, д. 2",59.83633199999999,30.201773,1
Храм-часовня Покрова Пресвятой Богородицы,Религиозные объекты,None,None,None,None,None,None,None,None,+7(812)7077917,"Санкт-Петербург, Рыбацкий проспект, 12",59.841676,30.500086,1
"Церковь Рождества Иоанна Предтечи (""Чесменская"")",Религиозные объекты,None,None,None,None,None,None,None,chesma.spb.ru,+7(812)3736114,"Санкт-Петербург, ул. Ленсовета, д.12",59.856849,30.330969,1
Собор Иконы Божией Матери Владимирская,Религиозные объекты,None,None,None,None,None,None,None, +7(812)3115330,+7(812)3110001,"Санкт-Петербург, г. Кронштадт, Владимирская ул., 32",59.998387,29.76636,1
Морской собор святителя Николая Чудотворца,Религиозные объекты,None,None,None,None,None,None,None,www.kronshtadt-pravoslavny.ru,+7(812)3119383,"Санкт-Петербург, г. Кронштадт, Якорная площадь, 1",59.99161,29.777723,1
Церковь-часовня Иконы Божией Матери Тихвинская у собора Андрея Первозванного,Религиозные объекты,None,None,None,None,None,None,None, +7(812)3115330,+7(812)3110001,"Санкт-Петербург, г. Кронштадт, Соборная пл., 1",59.992884,29.777472,1
Храм во имя Сретенья Господня,Религиозные объекты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Гражданский пр., 101",60.024675,30.411081,1
Храм св. мученицы Татианы,Религиозные объекты,None,None,None,None,None,None,None,tatiana.cerkov.ru,+7(812)9691207,"Санкт-Петербург, Коломяжский пр., д. 15. к. 3, лит. А",60.000528,30.301288,1
"Новодевичий монастырь (Собор Воскресения Христова, Церковь Казанской иконы Божией Матери, Церковь во имя Афонской иконы Божией Матери «Отрада и Утешение», Храм Трех Святителей, Домовый храм прп. Серафима Вырицкого, Храм Явления Божией Матери прп. Сергию Радонежскому)",Религиозные объекты,None,None,None,None,None,None,None,www.novodev.spb.ru,+7(812)3693098,"Санкт-Петербург, Московский проспект, 100",59.898489,30.320773,1
Церковь Знамения Пресвятой Богородицы,Религиозные объекты,None,None,None,None,None,None,None,www.pomorian.narod.ru,+7(812)7075522,"Санкт-Петербург,  Караваевская ул., д.16",59.836061,30.498011,1
Церковь Лиговской общины Белокриницкого согласия,Религиозные объекты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Транспортный пер., д.5",59.920104,30.35993,1
Покровская старообрядческая церковь,Религиозные объекты,None,None,None,None,None,None,None,None,+7(812)262-25-87,"Санкт-Петербург, пр. Александровской Фермы, д.20",59.852502,30.435443,1
Церковь Знамения Пресвятой Богородицы,Религиозные объекты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Тверская ул., д. 8",59.947027,30.381077,1
Англиканская церковь Иисуса Христа,Религиозные объекты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Английская набережная, 56",59.93195400000001,30.2874,1
Дом молитвы Христиан Веры Евангельской,Религиозные объекты,None,None,None,None,None,None,None,None,+7(812)7004092,"Санкт-Петербург, Славянская улица, 13",59.83368299999999,30.524502,1
Евангелическо-лютеранская церковь Святых Петра и Павла,Религиозные объекты,None,None,None,None,None,None,None,www.elkras.ru,+7(812)5712423,"Санкт-Петербург, Невский проспект, 22",59.935926,30.323037,1
Евангелическо-лютеранский приход церкви Святой Марии,Религиозные объекты,None,None,None,None,None,None,None,www.elci.ru,+7(812)3147161,"Санкт-Петербург, Большая Конюшенная улица, 8а",59.938076,30.324106,1
Церковь 'Дом Евангелия',Религиозные объекты,None,None,None,None,None,None,None,None,+7(812)7662831,"Санкт-Петербург, Боровая улица, 52в",59.914425,30.34426400000001,1
Церковь Евангельских Христиан в духе Апостолов,Религиозные объекты,None,None,None,None,None,None,None,edinbog.ucoz.ru,+7(812)2932914,"Санкт-Петербург,  пр. М. Тореза, д. 85",60.025152,30.326567,1
Церковь Евангельских Христиан-Баптистов,Религиозные объекты,None,None,None,None,None,None,None,baptist.spb.ru,+7(812)5533554,"Санкт-Петербург, Большая Озерная улица, 27",60.033247,30.31373,1
Церковь Святого Михаила,Религиозные объекты,None,None,None,None,None,None,None,None,+7(812)3233317,"Санкт-Петербург,  Средний проспект В.О., 18",59.944012,30.282756,1
Церковь Святой Екатерины,Религиозные объекты,None,None,None,None,None,None,None,st-katharina-orgel.ru,+7(812)3231852,"Санкт-Петербург,  Большой проспект В.О., 1",59.94873000000001,30.279729,1
Лютеранская церковь Святой Анны,Религиозные объекты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Фурштатская ул., 7-9",59.944968,30.351028000000003,1
Церковь Святого Архангела Михаила,Религиозные объекты,None,None,None,None,None,None,None,None,+7(812)3233317,"Санкт-Петербург, Средний просп. В. О., 18 Б",59.944251,30.283547,1
Церковь Святого Апостола Иоанна,Религиозные объекты,None,None,None,None,None,None,None,www.jaanikirik.ru/index.html,+7(812)7108446,"Санкт-Петербург, улица Декабристов, 54",59.92391,30.286709,1
Голландская реформатская церковь,Религиозные объекты,None,None,None,None,None,None,None,www.refspb.ru2009-03-21-18-44-24,+7(911)9421601,"Санкт-Петербург, Невский проспект, 20",59.93618299999999,30.321186,1
Французская реформатская церковь,Религиозные объекты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Большая Конюшенная улица, 25",59.93726,30.322165,1
Новоапостольская церковь,Религиозные объекты,None,None,None,None,None,None,None,www.nak.org,+7(812)7533701,"Санкт-Петербург,  Ленинский проспект, 113",59.851223,30.245467,1
Церковь адвентистов седьмого дня,Религиозные объекты,None,None,None,None,None,None,None,adventist.ru,None,"Санкт-Петербург, Проспект Тореза, 85",60.025152,30.326567,1
Александровский сад,Сады и парки,None,None,None,None,None,None,None,None,None,"Admiralteyskiy pr-d, 1, St Petersburg, 190098",59.937734,30.309149,1
Исаакиевский сквер,Сады и парки,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Исаакиевская площадь.",59.933013,30.307442,1
Московский парк Победы,Сады и парки,None,None,None,None,None,None,None,www.zelenogorsk-park.spb.ru,388-08-81,"196105, Санкт-Петербург, кузнецовская ул., 25",59.871351,30.332253,1
"ОАО ""Парк Сосновка""",Сады и парки,None,None,None,None,None,None,None,www.zelenogorsk-park.spb.ru,594-25-44,"194354, Санкт-Петербург, северный пр., 11",60.030483,30.342243,1
"ОАО ""Приморский парк Победы""",Сады и парки,None,None,None,None,None,None,None,www.zelenogorsk-park.spb.ru,230-04-56,"197110, Санкт-Петербург, крестовский пр., 21",59.969844,30.249222,1
"ОАО ""Удельный парк""",Сады и парки,None,None,None,None,None,None,None,www.zelenogorsk-park.spb.ru,"301-32-47, 303-09-92","197341, Санкт-Петербург, фермское ш., 21",60.01505699999999,30.312275,1
"ОАО ""Южно-Приморский парк""",Сады и парки,None,None,None,None,None,None,None,None,751-52-81,"198328, Санкт-Петербург, петергофское ш., 27",59.850595,30.173692,1
Парк 300-летия Санкт-Петербурга,Сады и парки,07.00-23.00,07.00-23.00,07.00-23.00,07.00-23.00,07.00-23.00,07.00-23.00,07.00-23.00,None,540-19-90,"195197, Санкт-Петербург, приморский пр., 74",59.984481,30.199599,0
"Парк культуры и отдыха ""Дубки""",Сады и парки,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,www.parkdubki.ru,437-46-55,"197706, Санкт-Петербург, г. сестрорецк, б. литейный пер., 37",60.088996,29.943579,0
"Парк культуры и отдыха ""Екатерингоф""",Сады и парки,None,None,None,None,None,None,None,www.parkdubki.ru,786-99-55,"198099, Санкт-Петербург, Лифляндская ул., 12",59.90193299999999,30.260217,1
Парк культуры и отдыха г. Колпино,Сады и парки,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,www.pko-kolpino.ru,461-12-81,"196653, Санкт-Петербург, г. Колпино, ул. Стахановская, 15",59.744538,30.590681,0
Центральный парк культуры и отдыха им. С.М. Кирова,Сады и парки,06.00-23.00,06.00-23.00,06.00-23.00,06.00-23.00,06.00-23.00,06.00-23.00,06.00-23.00,www.elaginpark.spb.ru,"430-09-11, 430-30-80, 430-11-71","197110, Санкт-Петербург, лагин остров, 4",59.97916899999999,30.262562,0
Летний сад,Сады и парки,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,None,+7 (812) 595-42-48,"СПб, Набережная Кутузова, д. 2",59.949177,30.345027,0
Михайловский сад,Сады и парки,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,None,None,"СПб, ул. Инженерная, д. 4",59.938707,30.328975,0
Юсуповский сад,Сады и парки,06.00-23.00,06.00-23.00,06.00-23.00,06.00-23.00,06.00-23.00,06.00-23.00,06.00-23.00,None,None,"СПб, ул. Садовая, д. 54",59.922972,30.309544,0
Ботанический сад,Сады и парки,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,None,+7 (812) 234-17-64,"СПб, ул. Профессора Попова, д. 2",59.971253,30.322857,0
Парк культуры и отдыха им. И. В. Бабушкина,Сады и парки,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,None,+7 (812) 560-14-36,"СПб, пр. Обуховской Обороны, д. 149",59.882839,30.43688,0
Шуваловский парк,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Суздальский / ш. Выборгское",60.050147,30.31131400000001,1
Муринский парк,Сады и парки,24,24,24,24,24,24,24,None,None,"СПб, пр. Луначарского / пр. Гражданский",60.019684,30.404451,0
Александровский парк,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Кронверкский",59.957039,30.315329,1
